individual_id,individual_name,probability
Verdachte,Verdachte,0.5806619583693035735548949177
M-2853,M-2853,0.00003638908731006576130644540723
M-8462,M-8462,0.001528936887998870193262158865
M-1478,M-1478,0.001674985023096296767700113108
