individual_id,individual_name,probability
Verdachte,Verdachte,0.540689541009390393073356404
M-2853,M-2853,0.00003287083701837742212415020171
M-8462,M-8462,0.002045801138180404558645487104
M-1478,M-1478,0.002250725554228098542409387735
