individual_id,individual_name,probability
Verdachte,Verdachte,0.5819290471657820815928439777
M-2853,M-2853,0.00003477985099448565202064464263
M-8462,M-8462,0.002028406765650632204629689365
M-1478,M-1478,0.001857237123873617744127211543
