individual_id,individual_name,probability
Verdachte,Verdachte,0.555046494512830907405766663
M-2853,M-2853,0.00003478878770041176558087173617
M-8462,M-8462,0.001592734243320101413017079617
M-1478,M-1478,0.001629909679179797684711652286
